Optimal Found Or Timeout,Instances,Solving...,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Completion Time for Window 9 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA51, , , ,[' 851'],[' 435'],"[' 10.776s (Solving', ' 9.17s 1st Model', ' 0.71s Unsat', ' 3.84s)']",[' 10.609s'], ,[' 1090031 '],"[' 273228   (Analyzed', ' 256531)']","[' 846      (Average', ' 303.23 Last', ' 833)']",[' 1077.7  '],"[' 435      (Average Length', ' 271.49 Splits', ' 0)']","[' 256531   (Deleted', ' 242933)']","[' 40       (Ratio', '   0.02%)']","[' 564      (Ratio', '   0.22%)']","[' 256531   (Average Length', '    8.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 256531   (Average', '  3.10 Max', ' 1690 Sum', ' 794317)']","[' 256239   (Average', '  2.82 Max', ' 1571 Sum', ' 724181 Ratio', '  91.17%)']","[' 292      (Average', ' 240.19 Max', ' 431 Sum', '  70136 Ratio', '   8.83%)']", ,[' 58337   '],[' 1854    '],[' 54325   '],[' 17057   '],"[' 44529    (Atom=Atom', ' 13271 Body=Body', ' 7850 Other', ' 23408)']",[' Yes'],"[' 2848     (Eliminated', '    0 Frozen', ' 2848)']","[' 10       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.293742'],[' 0'], ,[' 2.45894'],[' 0'],[' 0.0911955'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.42185e+06'],[' 1.5899e+06'],[' 0'],[' 9.16036e+07'],[' 0'],[' 0'],[' 609 '],[' 920 '],[' 1311 '],[' 1644 '],[' 1972 '],[' 2348 '],[' 2600 '],[' 2907 '],[' 3115 '],[' 0 '],[' 9 ']
Solving...,TA52, , , ,[' 953'],[' 486'],"[' 8.549s (Solving', ' 6.79s 1st Model', ' 0.65s Unsat', ' 0.57s)']",[' 8.500s'], ,[' 918940  '],"[' 102081   (Analyzed', ' 48851)']","[' 357      (Average', ' 136.84 Last', ' 448)']",[' 1083.0  '],"[' 486      (Average Length', ' 298.43 Splits', ' 0)']","[' 48851    (Deleted', ' 36916)']","[' 27       (Ratio', '   0.06%)']","[' 417      (Ratio', '   0.85%)']","[' 48851    (Average Length', '    9.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 48851    (Average', ' 12.14 Max', ' 1817 Sum', ' 593010)']","[' 48528    (Average', ' 10.02 Max', ' 1489 Sum', ' 489559 Ratio', '  82.55%)']","[' 323      (Average', ' 320.28 Max', ' 487 Sum', ' 103451 Ratio', '  17.45%)']", ,[' 58361   '],[' 1896    '],[' 54500   '],[' 17121   '],"[' 45269    (Atom=Atom', ' 13492 Body=Body', ' 7977 Other', ' 23800)']",[' Yes'],"[' 2941     (Eliminated', '    0 Frozen', ' 2941)']","[' 15       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.316523'],[' 0'], ,[' 1.00541'],[' 0'],[' 0.0598321'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.87567e+06'],[' 1.45681e+06'],[' 0'],[' 3.28396e+07'],[' 0'],[' 0'],[' 540 '],[' 900 '],[' 1260 '],[' 1716 '],[' 1987 '],[' 2300 '],[' 2660 '],[' 2918 '],[' 3127 '],[' 0 '],[' 9 ']
Solving...,TA53, , , ,[' 981'],[' 500'],"[' 74.278s (Solving', ' 72.39s 1st Model', ' 0.87s Unsat', ' 0.07s)']",[' 74.016s'], ,[' 8522242 '],"[' 5772922  (Analyzed', ' 5759498)']","[' 10334    (Average', ' 557.33 Last', ' 92519)']",[' 1116.2  '],"[' 500      (Average Length', ' 301.29 Splits', ' 0)']","[' 5759498  (Deleted', ' 5676007)']","[' 9        (Ratio', '   0.00%)']","[' 500      (Ratio', '   0.01%)']","[' 5759498  (Average Length', '   11.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5759498  (Average', '  1.40 Max', ' 1800 Sum', ' 8071285)']","[' 5759273  (Average', '  1.39 Max', ' 1526 Sum', ' 7998563 Ratio', '  99.10%)']","[' 225      (Average', ' 323.21 Max', ' 480 Sum', '  72722 Ratio', '   0.90%)']", ,[' 58586   '],[' 1861    '],[' 54590   '],[' 17222   '],"[' 44835    (Atom=Atom', ' 13364 Body=Body', ' 7871 Other', ' 23600)']",[' Yes'],"[' 2921     (Eliminated', '    0 Frozen', ' 2921)']","[' 18       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.316932'],[' 0'], ,[' 27.4957'],[' 0'],[' 0.913569'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.26831e+07'],[' 9.80276e+06'],[' 0'],[' 1.13216e+09'],[' 0'],[' 0'],[' 523 '],[' 848 '],[' 1205 '],[' 1473 '],[' 1745 '],[' 2138 '],[' 2482 '],[' 2754 '],[' 2970 '],[' 1 '],[' 8 ']
Solving...,TA54, , , ,[' 855'],[' 437'],"[' 7.916s (Solving', ' 6.20s 1st Model', ' 0.55s Unsat', ' 0.53s)']",[' 7.750s'], ,[' 819397  '],"[' 84668    (Analyzed', ' 39490)']","[' 292      (Average', ' 135.24 Last', ' 5007)']",[' 1084.1  '],"[' 437      (Average Length', ' 261.27 Splits', ' 0)']","[' 39490    (Deleted', ' 25931)']","[' 10       (Ratio', '   0.03%)']","[' 363      (Ratio', '   0.92%)']","[' 39490    (Average Length', '    9.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 39490    (Average', ' 12.96 Max', ' 1743 Sum', ' 511680)']","[' 39178    (Average', ' 10.65 Max', ' 1509 Sum', ' 420724 Ratio', '  82.22%)']","[' 312      (Average', ' 291.53 Max', ' 424 Sum', '  90956 Ratio', '  17.78%)']", ,[' 58200   '],[' 1860    '],[' 54265   '],[' 16978   '],"[' 44635    (Atom=Atom', ' 13299 Body=Body', ' 7869 Other', ' 23467)']",[' Yes'],"[' 2858     (Eliminated', '    0 Frozen', ' 2858)']","[' 9        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.303354'],[' 0'], ,[' 1.02375'],[' 0'],[' 0.0528493'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.66146e+06'],[' 1.30367e+06'],[' 0'],[' 3.82405e+07'],[' 0'],[' 0'],[' 535 '],[' 933 '],[' 1293 '],[' 1566 '],[' 1841 '],[' 2122 '],[' 2426 '],[' 2790 '],[' 2981 '],[' 0 '],[' 9 ']
Solving...,TA55, , , ,[' 1071'],[' 545'],"[' 9.995s (Solving', ' 7.91s 1st Model', ' 0.78s Unsat', ' 0.60s)']",[' 9.781s'], ,[' 1017254 '],"[' 87403    (Analyzed', ' 51831)']","[' 392      (Average', ' 132.22 Last', ' 156)']",[' 1199.4  '],"[' 545      (Average Length', ' 318.54 Splits', ' 0)']","[' 51831    (Deleted', ' 39900)']","[' 25       (Ratio', '   0.05%)']","[' 373      (Ratio', '   0.72%)']","[' 51831    (Average Length', '    8.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 51831    (Average', ' 11.01 Max', ' 1972 Sum', ' 570720)']","[' 51610    (Average', '  9.80 Max', ' 1570 Sum', ' 508182 Ratio', '  89.04%)']","[' 221      (Average', ' 282.98 Max', ' 494 Sum', '  62538 Ratio', '  10.96%)']", ,[' 58519   '],[' 1841    '],[' 54548   '],[' 17211   '],"[' 44636    (Atom=Atom', ' 13331 Body=Body', ' 7812 Other', ' 23493)']",[' Yes'],"[' 2933     (Eliminated', '    0 Frozen', ' 2933)']","[' 5        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.382444'],[' 0'], ,[' 0.990045'],[' 0'],[' 0.0662478'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.12592e+06'],[' 1.67496e+06'],[' 0'],[' 2.51345e+07'],[' 0'],[' 0'],[' 491 '],[' 793 '],[' 1191 '],[' 1452 '],[' 1906 '],[' 2177 '],[' 2532 '],[' 2838 '],[' 3053 '],[' 0 '],[' 9 ']
Solving...,TA56, , , ,[' 747'],[' 383'],"[' 7.223s (Solving', ' 5.71s 1st Model', ' 0.65s Unsat', ' 0.67s)']",[' 7.203s'], ,[' 785670  '],"[' 66638    (Analyzed', ' 57610)']","[' 278      (Average', ' 207.23 Last', ' 1606)']",[' 1091.6  '],"[' 383      (Average Length', ' 250.24 Splits', ' 0)']","[' 57610    (Deleted', ' 44901)']","[' 27       (Ratio', '   0.05%)']","[' 419      (Ratio', '   0.73%)']","[' 57610    (Average Length', '    8.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 57610    (Average', '  9.17 Max', ' 1647 Sum', ' 528287)']","[' 57333    (Average', '  7.99 Max', ' 1584 Sum', ' 460461 Ratio', '  87.16%)']","[' 277      (Average', ' 244.86 Max', ' 407 Sum', '  67826 Ratio', '  12.84%)']", ,[' 57970   '],[' 1846    '],[' 54027   '],[' 16808   '],"[' 44223    (Atom=Atom', ' 13187 Body=Body', ' 7826 Other', ' 23210)']",[' Yes'],"[' 2792     (Eliminated', '    0 Frozen', ' 2792)']","[' 8        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.275001'],[' 0'], ,[' 0.782155'],[' 0'],[' 0.0516181'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.59181e+06'],[' 1.23775e+06'],[' 0'],[' 1.93728e+07'],[' 0'],[' 0'],[' 634 '],[' 968 '],[' 1397 '],[' 1745 '],[' 2020 '],[' 2376 '],[' 2716 '],[' 2958 '],[' 3194 '],[' 0 '],[' 9 ']
Solving...,TA57, , , ,[' 997'],[' 508'],"[' 8.947s (Solving', ' 7.13s 1st Model', ' 0.74s Unsat', ' 0.42s)']",[' 8.953s'], ,[' 929503  '],"[' 31675    (Analyzed', ' 26117)']","[' 124      (Average', ' 210.62 Last', ' 1381)']",[' 1194.3  '],"[' 508      (Average Length', ' 309.69 Splits', ' 0)']","[' 26117    (Deleted', ' 14530)']","[' 18       (Ratio', '   0.07%)']","[' 308      (Ratio', '   1.18%)']","[' 26117    (Average Length', '    9.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 26117    (Average', ' 21.45 Max', ' 1887 Sum', ' 560152)']","[' 25855    (Average', ' 18.45 Max', ' 1532 Sum', ' 481981 Ratio', '  86.04%)']","[' 262      (Average', ' 298.36 Max', ' 468 Sum', '  78171 Ratio', '  13.96%)']", ,[' 58333   '],[' 1869    '],[' 54445   '],[' 17105   '],"[' 44975    (Atom=Atom', ' 13406 Body=Body', ' 7896 Other', ' 23673)']",[' Yes'],"[' 2939     (Eliminated', '    0 Frozen', ' 2939)']","[' 8        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.368066'],[' 0'], ,[' 0.815293'],[' 0'],[' 0.0592833'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.87976e+06'],[' 1.53074e+06'],[' 0'],[' 1.76285e+07'],[' 0'],[' 0'],[' 600 '],[' 1005 '],[' 1277 '],[' 1617 '],[' 2100 '],[' 2458 '],[' 2811 '],[' 3086 '],[' 3308 '],[' 0 '],[' 9 ']
Solving...,TA58, , , ,[' 1099'],[' 559'],"[' 9.849s (Solving', ' 8.01s 1st Model', ' 0.76s Unsat', ' 0.18s)']",[' 9.781s'], ,[' 988168  '],"[' 87124    (Analyzed', ' 14369)']","[' 332      (Average', ' 43.28 Last', ' 376)']",[' 1211.2  '],"[' 559      (Average Length', ' 333.41 Splits', ' 0)']","[' 14369    (Deleted', ' 6890)']","[' 18       (Ratio', '   0.13%)']","[' 258      (Ratio', '   1.80%)']","[' 14369    (Average Length', '    7.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 14369    (Average', ' 35.52 Max', ' 1917 Sum', ' 510318)']","[' 14110    (Average', ' 30.08 Max', ' 1593 Sum', ' 432261 Ratio', '  84.70%)']","[' 259      (Average', ' 301.38 Max', ' 518 Sum', '  78057 Ratio', '  15.30%)']", ,[' 58468   '],[' 1853    '],[' 54566   '],[' 17202   '],"[' 44852    (Atom=Atom', ' 13391 Body=Body', ' 7847 Other', ' 23614)']",[' Yes'],"[' 2970     (Eliminated', '    0 Frozen', ' 2970)']","[' 7        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.387847'],[' 0'], ,[' 1.10675'],[' 0'],[' 0.0611361'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.02691e+06'],[' 1.61294e+06'],[' 0'],[' 3.91458e+07'],[' 0'],[' 0'],[' 464 '],[' 920 '],[' 1258 '],[' 1545 '],[' 2022 '],[' 2293 '],[' 2627 '],[' 2936 '],[' 3207 '],[' 0 '],[' 9 ']
Solving...,TA59, , , ,[' 983'],[' 501'],"[' 8.363s (Solving', ' 6.53s 1st Model', ' 0.65s Unsat', ' 0.18s)']",[' 8.297s'], ,[' 905892  '],"[' 47298    (Analyzed', ' 16495)']","[' 173      (Average', ' 95.35 Last', ' 1764)']",[' 1140.3  '],"[' 501      (Average Length', ' 307.11 Splits', ' 0)']","[' 16495    (Deleted', ' 4700)']","[' 19       (Ratio', '   0.12%)']","[' 295      (Ratio', '   1.79%)']","[' 16495    (Average Length', '    8.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 16495    (Average', ' 33.48 Max', ' 1770 Sum', ' 552212)']","[' 16215    (Average', ' 28.17 Max', ' 1502 Sum', ' 464629 Ratio', '  84.14%)']","[' 280      (Average', ' 312.80 Max', ' 494 Sum', '  87583 Ratio', '  15.86%)']", ,[' 58222   '],[' 1849    '],[' 54343   '],[' 17023   '],"[' 44656    (Atom=Atom', ' 13319 Body=Body', ' 7836 Other', ' 23501)']",[' Yes'],"[' 2907     (Eliminated', '    0 Frozen', ' 2907)']","[' 13       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.345857'],[' 0'], ,[' 0.774415'],[' 0'],[' 0.0552344'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.79228e+06'],[' 1.4593e+06'],[' 0'],[' 2.08363e+07'],[' 0'],[' 0'],[' 493 '],[' 841 '],[' 1102 '],[' 1460 '],[' 1711 '],[' 2126 '],[' 2475 '],[' 2726 '],[' 2989 '],[' 0 '],[' 9 ']
Solving...,TA60, , , ,[' 1041'],[' 530'],"[' 9.029s (Solving', ' 6.98s 1st Model', ' 0.66s Unsat', ' 0.43s)']",[' 8.891s'], ,[' 902678  '],"[' 43919    (Analyzed', ' 28990)']","[' 204      (Average', ' 142.11 Last', ' 1382)']",[' 1144.8  '],"[' 530      (Average Length', ' 320.36 Splits', ' 0)']","[' 28990    (Deleted', ' 18607)']","[' 21       (Ratio', '   0.07%)']","[' 436      (Ratio', '   1.50%)']","[' 28990    (Average Length', '    8.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 28990    (Average', ' 18.80 Max', ' 1772 Sum', ' 545054)']","[' 28702    (Average', ' 15.77 Max', ' 1532 Sum', ' 457248 Ratio', '  83.89%)']","[' 288      (Average', ' 304.88 Max', ' 508 Sum', '  87806 Ratio', '  16.11%)']", ,[' 58551   '],[' 1877    '],[' 54646   '],[' 17215   '],"[' 45139    (Atom=Atom', ' 13460 Body=Body', ' 7920 Other', ' 23759)']",[' Yes'],"[' 2966     (Eliminated', '    0 Frozen', ' 2966)']","[' 14       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.355139'],[' 0'], ,[' 0.806204'],[' 0'],[' 0.0565368'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.86833e+06'],[' 1.50658e+06'],[' 0'],[' 1.7678e+07'],[' 0'],[' 0'],[' 534 '],[' 877 '],[' 1155 '],[' 1598 '],[' 1917 '],[' 2295 '],[' 2529 '],[' 2808 '],[' 3039 '],[' 0 '],[' 9 ']
