Optimal Found Or Timeout,Instances,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Completion Time for Window 9 
Solving...,TA31, , ,[' 225'],[' 122'],"[' 1.090s (Solving', ' 0.64s 1st Model', ' 0.07s Unsat', ' 0.09s)']",[' 1.016s'], ,[' 79130   '],"[' 5157     (Analyzed', ' 3921)']","[' 27       (Average', ' 145.22 Last', ' 59)']",[' 455.8   '],"[' 122      (Average Length', ' 55.63 Splits', ' 0)']","[' 3921     (Deleted', ' 1027)']","[' 62       (Ratio', '   1.58%)']","[' 246      (Ratio', '   6.27%)']","[' 3921     (Average Length', '    6.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3921     (Average', '  8.46 Max', ' 608 Sum', '  33174)']","[' 3827     (Average', '  8.32 Max', ' 608 Sum', '  32622 Ratio', '  98.34%)']","[' 94       (Average', '  5.87 Max', '  57 Sum', '    552 Ratio', '   1.66%)']", ,[' 28406   '],[' 1139    '],[' 28068   '],[' 14609   '],"[' 43823    (Atom=Atom', ' 13918 Body=Body', ' 8084 Other', ' 21821)']",[' Yes'],"[' 1251     (Eliminated', '    0 Frozen', ' 1251)']","[' 9        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.117424'],[' 0'], ,[' 0.197229'],[' 0'],[' 0.0064097'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 885229'],[' 829191'],[' 0'],[' 9.68468e+06'],[' 0'],[' 0'],[' 326 '],[' 605 '],[' 861 '],[' 1093 '],[' 1520 '],[' 1700 '],[' 1967 '],[' 2276 '],[' 2500 ']
Solving...,TA32, , ,[' 227'],[' 123'],"[' 15.350s (Solving', ' 14.74s 1st Model', ' 0.13s Unsat', ' 0.05s)']",[' 15.344s'], ,[' 789668  '],"[' 548727   (Analyzed', ' 546992)']","[' 1556     (Average', ' 351.54 Last', ' 14219)']",[' 539.4   '],"[' 123      (Average Length', ' 55.72 Splits', ' 0)']","[' 546992   (Deleted', ' 534161)']","[' 38       (Ratio', '   0.01%)']","[' 569      (Ratio', '   0.10%)']","[' 546992   (Average Length', '    9.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 546992   (Average', '  1.31 Max', ' 665 Sum', ' 718661)']","[' 546935   (Average', '  1.31 Max', ' 665 Sum', ' 718136 Ratio', '  99.93%)']","[' 57       (Average', '  9.21 Max', '  63 Sum', '    525 Ratio', '   0.07%)']", ,[' 29630   '],[' 1212    '],[' 29293   '],[' 15605   '],"[' 46811    (Atom=Atom', ' 14841 Body=Body', ' 8157 Other', ' 23813)']",[' Yes'],"[' 1325     (Eliminated', '    0 Frozen', ' 1325)']","[' 22       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.157149'],[' 0'], ,[' 10.6888'],[' 0'],[' 0.246851'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.00874e+06'],[' 1.7155e+06'],[' 0'],[' 1.326e+09'],[' 0'],[' 0'],[' 387 '],[' 635 '],[' 1056 '],[' 1248 '],[' 1603 '],[' 1784 '],[' 2282 '],[' 2491 '],[' 2885 ']
Solving...,TA33, , ,[' 209'],[' 114'],"[' 0.957s (Solving', ' 0.49s 1st Model', ' 0.10s Unsat', ' 0.07s)']",[' 0.922s'], ,[' 83279   '],"[' 4159     (Analyzed', ' 3483)']","[' 26       (Average', ' 133.96 Last', ' 124)']",[' 403.0   '],"[' 114      (Average Length', ' 52.25 Splits', ' 0)']","[' 3483     (Deleted', ' 0)']","[' 60       (Ratio', '   1.72%)']","[' 245      (Ratio', '   7.03%)']","[' 3483     (Average Length', '    5.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3483     (Average', ' 13.12 Max', ' 584 Sum', '  45706)']","[' 3390     (Average', ' 13.00 Max', ' 584 Sum', '  45265 Ratio', '  99.04%)']","[' 93       (Average', '  4.74 Max', '  35 Sum', '    441 Ratio', '   0.96%)']", ,[' 28616   '],[' 1144    '],[' 28270   '],[' 14528   '],"[' 43580    (Atom=Atom', ' 13832 Body=Body', ' 8089 Other', ' 21659)']",[' Yes'],"[' 1248     (Eliminated', '    0 Frozen', ' 1248)']","[' 10       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.100066'],[' 0'], ,[' 0.176774'],[' 0'],[' 0.0062006'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 739047'],[' 689549'],[' 0'],[' 9.97314e+06'],[' 0'],[' 0'],[' 352 '],[' 572 '],[' 915 '],[' 1201 '],[' 1511 '],[' 1727 '],[' 1979 '],[' 2284 '],[' 2662 ']
Solving...,TA34, , ,[' 263'],[' 141'],"[' 1.186s (Solving', ' 0.65s 1st Model', ' 0.13s Unsat', ' 0.04s)']",[' 1.203s'], ,[' 109422  '],"[' 4426     (Analyzed', ' 2727)']","[' 26       (Average', ' 104.88 Last', ' 93)']",[' 510.2   '],"[' 141      (Average Length', ' 64.40 Splits', ' 0)']","[' 2727     (Deleted', ' 0)']","[' 69       (Ratio', '   2.53%)']","[' 291      (Ratio', '  10.67%)']","[' 2727     (Average Length', '    5.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2727     (Average', ' 18.13 Max', ' 635 Sum', '  49435)']","[' 2615     (Average', ' 17.83 Max', ' 635 Sum', '  48624 Ratio', '  98.36%)']","[' 112      (Average', '  7.24 Max', '  56 Sum', '    811 Ratio', '   1.64%)']", ,[' 28640   '],[' 1176    '],[' 28320   '],[' 14845   '],"[' 44531    (Atom=Atom', ' 14117 Body=Body', ' 8121 Other', ' 22293)']",[' Yes'],"[' 1306     (Eliminated', '    0 Frozen', ' 1306)']","[' 19       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.123457'],[' 0'], ,[' 0.200862'],[' 0'],[' 0.0072734'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.14453e+06'],[' 1.08032e+06'],[' 0'],[' 7.44957e+06'],[' 0'],[' 0'],[' 372 '],[' 616 '],[' 942 '],[' 1349 '],[' 1481 '],[' 1779 '],[' 2005 '],[' 2284 '],[' 2668 ']
Solving...,TA35, , ,[' 217'],[' 118'],"[' 1.333s (Solving', ' 0.85s 1st Model', ' 0.09s Unsat', ' 0.42s)']",[' 1.281s'], ,[' 111669  '],"[' 27827    (Analyzed', ' 26255)']","[' 118      (Average', ' 222.50 Last', ' 123)']",[' 476.2   '],"[' 118      (Average Length', ' 53.81 Splits', ' 0)']","[' 26255    (Deleted', ' 18382)']","[' 58       (Ratio', '   0.22%)']","[' 346      (Ratio', '   1.32%)']","[' 26255    (Average Length', '    7.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 26255    (Average', '  2.43 Max', ' 604 Sum', '  63750)']","[' 26185    (Average', '  2.42 Max', ' 604 Sum', '  63570 Ratio', '  99.72%)']","[' 70       (Average', '  2.57 Max', '  16 Sum', '    180 Ratio', '   0.28%)']", ,[' 28855   '],[' 1158    '],[' 28513   '],[' 15020   '],"[' 45056    (Atom=Atom', ' 14310 Body=Body', ' 8103 Other', ' 22643)']",[' Yes'],"[' 1266     (Eliminated', '    0 Frozen', ' 1266)']","[' 4        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.10848'],[' 0'], ,[' 0.411842'],[' 0'],[' 0.013081'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 923468'],[' 819992'],[' 0'],[' 3.56412e+07'],[' 0'],[' 0'],[' 298 '],[' 503 '],[' 999 '],[' 1250 '],[' 1599 '],[' 1881 '],[' 2119 '],[' 2518 '],[' 2906 ']
Solving...,TA36, , ,[' 237'],[' 128'],"[' 1.170s (Solving', ' 0.65s 1st Model', ' 0.10s Unsat', ' 0.08s)']",[' 1.156s'], ,[' 97224   '],"[' 8571     (Analyzed', ' 6973)']","[' 57       (Average', ' 122.33 Last', ' 401)']",[' 495.8   '],"[' 128      (Average Length', ' 57.63 Splits', ' 0)']","[' 6973     (Deleted', ' 955)']","[' 52       (Ratio', '   0.75%)']","[' 319      (Ratio', '   4.57%)']","[' 6973     (Average Length', '    6.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6973     (Average', '  6.24 Max', ' 618 Sum', '  43477)']","[' 6893     (Average', '  6.17 Max', ' 618 Sum', '  43021 Ratio', '  98.95%)']","[' 80       (Average', '  5.70 Max', '  54 Sum', '    456 Ratio', '   1.05%)']", ,[' 28739   '],[' 1150    '],[' 28406   '],[' 14910   '],"[' 44726    (Atom=Atom', ' 14208 Body=Body', ' 8095 Other', ' 22423)']",[' Yes'],"[' 1267     (Eliminated', '    0 Frozen', ' 1267)']","[' 38       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.130136'],[' 0'], ,[' 0.202779'],[' 0'],[' 0.006748'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.05476e+06'],[' 986031'],[' 0'],[' 8.11666e+06'],[' 0'],[' 0'],[' 437 '],[' 762 '],[' 1035 '],[' 1294 '],[' 1583 '],[' 1837 '],[' 2181 '],[' 2375 '],[' 2676 ']
Solving...,TA37, , ,[' 281'],[' 150'],"[' 1.228s (Solving', ' 0.71s 1st Model', ' 0.10s Unsat', ' 0.11s)']",[' 1.203s'], ,[' 105092  '],"[' 5708     (Analyzed', ' 4692)']","[' 32       (Average', ' 146.63 Last', ' 36)']",[' 469.4   '],"[' 150      (Average Length', ' 69.07 Splits', ' 0)']","[' 4692     (Deleted', ' 1593)']","[' 67       (Ratio', '   1.43%)']","[' 241      (Ratio', '   5.14%)']","[' 4692     (Average Length', '    6.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4692     (Average', ' 10.24 Max', ' 658 Sum', '  48027)']","[' 4603     (Average', ' 10.12 Max', ' 658 Sum', '  47468 Ratio', '  98.84%)']","[' 89       (Average', '  6.28 Max', '  60 Sum', '    559 Ratio', '   1.16%)']", ,[' 28574   '],[' 1167    '],[' 28262   '],[' 14887   '],"[' 44657    (Atom=Atom', ' 14168 Body=Body', ' 8112 Other', ' 22377)']",[' Yes'],"[' 1305     (Eliminated', '    0 Frozen', ' 1305)']","[' 14       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.118412'],[' 0'], ,[' 0.229192'],[' 0'],[' 0.0079131'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.01503e+06'],[' 948883'],[' 0'],[' 1.37827e+07'],[' 0'],[' 0'],[' 317 '],[' 550 '],[' 750 '],[' 1088 '],[' 1425 '],[' 1591 '],[' 1849 '],[' 2172 '],[' 2500 ']
Solving...,TA38, , ,[' 169'],[' 94'],"[' 1.571s (Solving', ' 1.14s 1st Model', ' 0.05s Unsat', ' 0.66s)']",[' 1.516s'], ,[' 117388  '],"[' 30948    (Analyzed', ' 28312)']","[' 174      (Average', ' 162.71 Last', ' 320)']",[' 559.1   '],"[' 94       (Average Length', ' 40.82 Splits', ' 0)']","[' 28312    (Deleted', ' 19594)']","[' 72       (Ratio', '   0.25%)']","[' 586      (Ratio', '   2.07%)']","[' 28312    (Average Length', '    7.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 28312    (Average', '  2.49 Max', ' 616 Sum', '  70498)']","[' 28205    (Average', '  2.47 Max', ' 616 Sum', '  70071 Ratio', '  99.39%)']","[' 107      (Average', '  3.99 Max', '  30 Sum', '    427 Ratio', '   0.61%)']", ,[' 29242   '],[' 1215    '],[' 28876   '],[' 15481   '],"[' 46439    (Atom=Atom', ' 14714 Body=Body', ' 8160 Other', ' 23565)']",[' Yes'],"[' 1299     (Eliminated', '    0 Frozen', ' 1299)']","[' 47       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.106835'],[' 0'], ,[' 0.654672'],[' 0'],[' 0.0158889'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 994201'],[' 888738'],[' 0'],[' 7.51566e+07'],[' 0'],[' 0'],[' 511 '],[' 736 '],[' 1072 '],[' 1266 '],[' 1509 '],[' 1796 '],[' 2137 '],[' 2380 '],[' 2630 ']
Solving...,TA39, , ,[' 233'],[' 126'],"[' 1.335s (Solving', ' 0.87s 1st Model', ' 0.16s Unsat', ' 0.39s)']",[' 1.297s'], ,[' 134046  '],"[' 43130    (Analyzed', ' 41995)']","[' 177      (Average', ' 237.26 Last', ' 184)']",[' 459.4   '],"[' 126      (Average Length', ' 57.83 Splits', ' 0)']","[' 41995    (Deleted', ' 34255)']","[' 69       (Ratio', '   0.16%)']","[' 455      (Ratio', '   1.08%)']","[' 41995    (Average Length', '    7.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 41995    (Average', '  2.04 Max', ' 619 Sum', '  85589)']","[' 41884    (Average', '  2.03 Max', ' 619 Sum', '  85136 Ratio', '  99.47%)']","[' 111      (Average', '  4.08 Max', '  11 Sum', '    453 Ratio', '   0.53%)']", ,[' 29238   '],[' 1177    '],[' 28904   '],[' 14887   '],"[' 44657    (Atom=Atom', ' 14158 Body=Body', ' 8122 Other', ' 22377)']",[' Yes'],"[' 1293     (Eliminated', '    0 Frozen', ' 1293)']","[' 29       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.116572'],[' 0'], ,[' 0.320909'],[' 0'],[' 0.0104906'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.0584e+06'],[' 913452'],[' 0'],[' 1.49362e+07'],[' 0'],[' 0'],[' 465 '],[' 840 '],[' 1017 '],[' 1323 '],[' 1678 '],[' 1951 '],[' 2135 '],[' 2289 '],[' 2527 ']
Solving...,TA40, , ,[' 235'],[' 127'],"[' 1.119s (Solving', ' 0.66s 1st Model', ' 0.08s Unsat', ' 0.16s)']",[' 1.109s'], ,[' 102906  '],"[' 16522    (Analyzed', ' 15092)']","[' 78       (Average', ' 193.49 Last', ' 561)']",[' 439.7   '],"[' 127      (Average Length', ' 58.50 Splits', ' 0)']","[' 15092    (Deleted', ' 8547)']","[' 74       (Ratio', '   0.49%)']","[' 440      (Ratio', '   2.92%)']","[' 15092    (Average Length', '    7.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 15092    (Average', '  3.75 Max', ' 600 Sum', '  56665)']","[' 14987    (Average', '  3.72 Max', ' 600 Sum', '  56173 Ratio', '  99.13%)']","[' 105      (Average', '  4.69 Max', '  18 Sum', '    492 Ratio', '   0.87%)']", ,[' 28253   '],[' 1153    '],[' 27920   '],[' 14818   '],"[' 44450    (Atom=Atom', ' 14113 Body=Body', ' 8098 Other', ' 22239)']",[' Yes'],"[' 1270     (Eliminated', '    0 Frozen', ' 1270)']","[' 29       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.111067'],[' 0'], ,[' 0.23385'],[' 0'],[' 0.007775'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 922241'],[' 839778'],[' 0'],[' 1.31268e+07'],[' 0'],[' 0'],[' 393 '],[' 645 '],[' 882 '],[' 1107 '],[' 1359 '],[' 1643 '],[' 1835 '],[' 2181 '],[' 2464 ']
